test_id,query,answer,retrieved_ids,confidence,low_confidence,latency_s,success,error
U01,hey can u tell me where novatech is based?,,,0.0,False,0.4005,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
U02,Who was the person behind that NovaMind project again?,,,0.0,False,0.3747,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
U03,so like when did NovaMind actually start?,,,0.0,False,0.3487,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
U04,what's that internal docs thing called at NovaTech?,,,0.0,False,0.3463,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
U05,AI Launchpad is for what exactly and how long is it?,,,0.0,False,0.3581,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
U06,"can you just tell me the departments there, like all of them",,,0.0,False,0.4072,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
U07,I'm trying to understand NovaMind — what does it actually do for employees?,,,0.0,False,0.3504,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
U08,"after finishing that AI Launchpad training, do people get some certificate?",,,0.0,False,0.3717,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
U09,when do the engineering folks have their weekly tech review?,,,0.0,False,0.365,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
U10,what kind of stuff can I find inside AtlasHub?,,,0.0,False,0.4009,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
