test_id,dimension,query,expected,answer,retrieved_ids,confidence,low_confidence,latency_s,pass,error
G01,graceful_degradation,What is the weather in Delhi today?,honest uncertainty / no invented answer,,,0.0,False,0.3543,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
G02,graceful_degradation,Who won the latest FIFA World Cup?,honest uncertainty / no invented answer,,,0.0,False,0.3614,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
G03,graceful_degradation,How do I cook paneer butter masala?,honest uncertainty / no invented answer,,,0.0,False,0.3485,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
G04,graceful_degradation,What is the current price of Bitcoin?,honest uncertainty / no invented answer,,,0.0,False,0.3591,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
G05,graceful_degradation,How can I renew my Indian passport?,honest uncertainty / no invented answer,,,0.0,False,0.3559,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
G06,graceful_degradation,What is the capital of Australia?,honest uncertainty / no invented answer,,,0.0,False,0.3506,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
G07,graceful_degradation,Can you explain photosynthesis?,honest uncertainty / no invented answer,,,0.0,False,0.3542,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
G08,graceful_degradation,What are the best tourist places in Japan?,honest uncertainty / no invented answer,,,0.0,False,0.3796,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
G09,graceful_degradation,How do I calculate compound interest?,honest uncertainty / no invented answer,,,0.0,False,0.5015,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
G10,graceful_degradation,Who is the current CEO of Microsoft?,honest uncertainty / no invented answer,,,0.0,False,0.3836,False,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
