test_id,query,retrieval_s,context_formatting_s,generation_s,end_to_end_s,error
A01,Where is NovaTech Solutions headquartered?,0.0268,0.0,0.337,0.3638,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
A02,Who led the NovaMind project?,0.0265,0.0,0.3465,0.3731,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
A03,When was NovaMind launched?,0.0124,0.0,0.3497,0.3621,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
A04,What is NovaTech's internal documentation platform?,0.0128,0.0,0.3174,0.3302,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
A05,How long does AI Launchpad last?,0.0126,0.0,0.3327,0.3454,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
A06,What departments does NovaTech Solutions have?,0.0272,0.0,0.331,0.3583,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
A07,What does NovaMind help employees with?,0.0149,0.0,0.3396,0.3544,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
A08,What certification do employees receive after AI Launchpad?,0.0105,0.0,0.337,0.3475,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
A09,When is the weekly technical review meeting?,0.0163,0.0,0.3616,0.3779,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
A10,What does AtlasHub contain?,0.0391,0.0,0.3686,0.4078,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
